Plate	well_id	sample	year	season	habitat	population	phenotyped	exp_depth	fastq_prefix
1X_P1	A01	18SBaX_R5P6X0	2018	Spring	Basin	Basin	FALSE	1	1X-P1-A1
1X_P1	A02	16SBaX_000055	2016	Spring	Basin	Basin	FALSE	1	1X-P1-A2
1X_P1	A03	16FP3X_000048	2016	Fall	Pond	Pond_3	FALSE	1	1X-P1-A3
1X_P1	A04	16SP1X_000057	2016	Spring	Pond	Pond_1	FALSE	1	1X-P1-A4
1X_P1	A05	18SBaX_000065	2018	Spring	Basin	Basin	FALSE	1	1X-P1-A5
1X_P1	A06	16SP2X_000059	2016	Spring	Pond	Pond_2	FALSE	1	1X-P1-A6
1X_P1	A07	18SBaX_000012	2018	Spring	Basin	Basin	FALSE	1	1X-P1-A7
1X_P1	A08	16SBaX_000059	2016	Spring	Basin	Basin	FALSE	1	1X-P1-A8
1X_P1	A09	18SBaX_000043	2018	Spring	Basin	Basin	FALSE	1	1X-P1-A9
1X_P1	A10	16FP1X_000046	2016	Fall	Pond	Pond_1	FALSE	1	1X-P1-A10
1X_P1	A11	16SP1X_000055	2016	Spring	Pond	Pond_1	FALSE	1	1X-P1-A11
1X_P1	A12	18SBaX_R5R7X0	2018	Spring	Basin	Basin	FALSE	1	1X-P1-A12
1X_P1	B01	16SP1X_000058	2016	Spring	Pond	Pond_1	FALSE	1	1X-P1-B1
1X_P1	B02	18FBaX_G1R2G6	2018	Fall	Basin	Basin	FALSE	1	1X-P1-B2
1X_P1	B03	16SP2X_000060	2016	Spring	Pond	Pond_2	FALSE	1	1X-P1-B3
1X_P1	B04	18SP4X_000003	2018	Spring	Pond	Pond_4	FALSE	1	1X-P1-B4
1X_P1	B05	16SBaX_000060	2016	Spring	Basin	Basin	FALSE	1	1X-P1-B5
1X_P1	B06	16FP2X_000047	2016	Fall	Pond	Pond_2	FALSE	1	1X-P1-B6
1X_P1	B07	16SP1X_000059	2016	Spring	Pond	Pond_1	FALSE	1	1X-P1-B7
1X_P1	B08	18SP3X_000013	2018	Spring	Pond	Pond_3	FALSE	1	1X-P1-B8
1X_P1	B09	16SP3X_000060	2016	Spring	Pond	Pond_3	FALSE	1	1X-P1-B9
1X_P1	B10	16FP3X_000045	2016	Fall	Pond	Pond_3	FALSE	1	1X-P1-B10
1X_P1	B11	18FBaX_R1G2O6	2018	Fall	Basin	Basin	FALSE	1	1X-P1-B11
1X_P1	B12	16FP3X_000049	2016	Fall	Pond	Pond_3	FALSE	1	1X-P1-B12
